Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
1447,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Kolathur ,5th Std-Below 10th Std,3 or 4,1,Employed,Worsened,Will improve,Decreased,Will increase,Remained the same,Remain the same,Increased,Remain the same,Decreased,Remain the same,Remained the same,Will improve,Increased,Will increase,Remained the same,Remain the same
1448,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Kolathur ,5th Std-Below 10th Std,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Remain the same
1449,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Kolathur ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Remained the same,Will improve,Increased,Remain the same,Decreased,
1450,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Kolathur ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1451,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Kolathur ,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
1452,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Kolathur ,Graduate,3 or 4,2,Unemployed,Worsened,Will worsen,Decreased,Will increase,Remained the same,Remain the same,Remained the same,Will decrease,Decreased,Remain the same,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
1453,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Madhavaram ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
1454,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Madhavaram ,5th Std-Below 10th Std,3 or 4,1,Daily worker,Worsened,Will worsen,Decreased,Will decrease,Decreased,Will decrease,Increased,Will increase,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1455,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Madhavaram ,Graduate,5 and more,3,Self Employed/ Business,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1456,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Maduravoyal ,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will increase
1457,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Maduravoyal ,10th Std-Below 12th Std,5 and more,2,Daily worker,Worsened,Will improve,Increased,Will increase,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
1458,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Decreased,Will increase
1459,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,10th Std-Below 12th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will worsen,Increased,Will increase,Decreased,Remain the same
1460,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,10th Std-Below 12th Std,5 and more,2,Unemployed,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Remain the same
1461,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,12th Std,5 and more,2,Unemployed,Worsened,Will worsen,Increased,Will increase,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Worsened,Will worsen,Remained the same,Remain the same,,
1462,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will worsen,Increased,Will decrease,Increased,
1463,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
1464,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
1465,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,5th Std-Below 10th Std,5 and more,1,Unemployed,Worsened,Will improve,Remained the same,Will increase,Increased,Will decrease,Increased,Will decrease,Increased,Will decrease,Remained the same,Will improve,Increased,Will decrease,Decreased,
1466,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,5th Std-Below 10th Std,5 and more,2,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Remain the same,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
1467,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,Graduate,3 or 4,1,House wife,Remained the same,Will worsen,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Decreased,Will decrease,Improved,Will worsen,Increased,Will increase,Remained the same,Will increase
1468,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,Graduate,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Remained the same,Remain the same
1469,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Mylapore ,Graduate,5 and more,3,Unemployed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Will increase,,Remain the same
1470,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
1471,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Decreased,Will increase
1472,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,12th Std,5 and more,2,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
1473,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,5th Std-Below 10th Std,3 or 4,2,Unemployed,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
1474,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,5th Std-Below 10th Std,5 and more,1,House wife,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
1475,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will improve,Decreased,Will increase,Decreased,Will decrease,Decreased,Will decrease,Increased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will decrease
1476,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,5th Std-Below 10th Std,5 and more,3,Unemployed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1477,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,Graduate,3 or 4,1,Unemployed,Worsened,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1478,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,Graduate,3 or 4,2,Employed,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Remained the same,Will increase,,Will decrease
1479,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,Graduate,3 or 4,4,Employed,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Increased,Will decrease,Increased,
1480,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,Graduate,3 or 4,4,Employed,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Remained the same,Will increase
1481,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Perambur ,Post Graduate,3 or 4,1,Unemployed,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Remain the same,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
1482,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Royapuram ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will worsen,Increased,Will increase,Increased,Will decrease,Increased,Will decrease,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
1483,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Royapuram ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Remain the same
1484,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Royapuram ,12th Std,3 or 4,1,House wife,Improved,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Remain the same
1485,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Royapuram ,12th Std,3 or 4,1,Self Employed/ Business,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
1486,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Royapuram ,Graduate,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Remain the same,Increased,Will increase,Remained the same,Will increase
1487,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Saidapet ,10th Std-Below 12th Std,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Remain the same
1488,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Saidapet ,12th Std,3 or 4,1,Employed,Improved,Will worsen,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
1489,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Saidapet ,12th Std,3 or 4,1,House wife,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Improved,Remain the same,Increased,Remain the same,Remained the same,
1490,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Saidapet ,Graduate,1 to 2,1,House wife,Improved,Will worsen,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will decrease
1491,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Saidapet ,Graduate,3 or 4,1,House wife,Worsened,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
1492,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Saidapet ,Graduate,3 or 4,2,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same
1493,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Thiyagaraya Nagar ,12th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will improve,Increased,Will increase,Decreased,Will increase
1494,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Thiyagaraya Nagar ,12th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Will worsen,Increased,Will increase,Decreased,Will decrease
1495,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Thiyagaraya Nagar ,Post Graduate,1 to 2,1,Unemployed,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Remain the same
1496,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Thiyagaraya Nagar ,Post Graduate,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
1497,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Thousand lights ,12th Std,3 or 4,3,Employed,Remained the same,Will improve,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Remain the same
1498,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,10th Std-Below 12th Std,3 or 4,2,Daily worker,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Decreased,Remain the same
1499,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,10th Std-Below 12th Std,5 and more,1,House wife,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1500,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,12th Std,3 or 4,1,Self Employed/ Business,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Remain the same
1501,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
1502,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
1503,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,Graduate,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will decrease,Increased,Remain the same,Increased,Will increase,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1504,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,Graduate,5 and more,2,Unemployed,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
1505,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,12th Std,3 or 4,1,House wife,Worsened,Will improve,Decreased,Will increase,Increased,Remain the same,Increased,Will increase,Increased,Will decrease,Worsened,Remain the same,Remained the same,Will increase,,Will decrease
1506,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will improve,Decreased,Will increase,Increased,Remain the same,Increased,Will increase,Decreased,Will decrease,Worsened,Will improve,Increased,Will decrease,Remained the same,
1507,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will worsen,Increased,Will increase,Decreased,Will decrease
1508,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,10th Std-Below 12th Std,3 or 4,1,House wife,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,,
1509,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will worsen,Decreased,Remain the same,Increased,Remain the same,Remained the same,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will decrease,Increased,
1510,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will worsen,Increased,Will decrease,Decreased,Remain the same,Decreased,Remain the same,Decreased,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Remain the same
1511,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,10th Std-Below 12th Std,3 or 4,2,Unemployed,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
1512,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,10th Std-Below 12th Std,5 and more,2,House wife,Worsened,Remain the same,Increased,Remain the same,Increased,Will increase,Increased,Remain the same,Increased,Will increase,Remained the same,Will worsen,Increased,Will increase,Decreased,Remain the same
1513,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,12th Std,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
1514,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,12th Std,5 and more,3,House wife,Remained the same,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Remained the same,Remain the same
1515,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Remain the same
1516,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,Graduate,3 or 4,2,Employed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
1517,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,Graduate,5 and more,1,House wife,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1518,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Velachery ,Graduate,5 and more,3,Unemployed,Worsened,Remain the same,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
1519,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Villivakkam ,10th Std-Below 12th Std,1 to 2,1,House wife,Worsened,Will improve,Decreased,Will increase,Remained the same,Remain the same,Increased,Will increase,Decreased,Remain the same,Improved,Remain the same,Decreased,Will increase,,Remain the same
1520,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Villivakkam ,10th Std-Below 12th Std,3 or 4,1,House wife,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
1521,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Villivakkam ,10th Std-Below 12th Std,3 or 4,3,Unemployed,Worsened,Will worsen,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1522,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Villivakkam ,10th Std-Below 12th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Decreased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1523,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Villivakkam ,10th Std-Below 12th Std,5 and more,3,Unemployed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
1524,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Villivakkam ,12th Std,5 and more,3,House wife,Improved,Remain the same,Increased,Will increase,Increased,Remain the same,Increased,Remain the same,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
1525,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Villivakkam ,Graduate,3 or 4,1,Unemployed,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
1526,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 lakh or less,Virugambakkam ,Graduate,5 and more,3,Unemployed,Worsened,Will improve,Increased,Will increase,Increased,Will decrease,Increased,Will increase,Increased,Will decrease,Remained the same,Will improve,Increased,Will decrease,Increased,
1527,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,10th Std-Below 12th Std,1 to 2,1,House wife,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
1528,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,12th Std,3 or 4,1,House wife,Worsened,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
1529,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,5th Std-Below 10th Std,3 or 4,2,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Remain the same,Increased,Remain the same,Decreased,Remain the same,Worsened,Will improve,Increased,Remain the same,Increased,
1530,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,Graduate,3 or 4,1,Employed,Improved,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Remain the same,Increased,Will increase,Remained the same,Will increase
1531,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,Graduate,3 or 4,2,Unemployed,Worsened,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
1532,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,Post Graduate,5 and more,2,Employed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
1533,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Anna Nagar ,12th Std,3 or 4,1,House wife,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will decrease,Increased,Remain the same,Increased,Will decrease,Improved,Remain the same,Increased,Will increase,Increased,Will increase
1534,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Anna Nagar ,12th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
1535,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Anna Nagar ,Graduate,3 or 4,1,House wife,Remained the same,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Remain the same,Increased,
1536,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Anna Nagar ,Graduate,3 or 4,1,House wife,Worsened,Will worsen,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
1537,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,Anna Nagar ,Graduate,3 or 4,2,Self Employed/ Business,Worsened,Remain the same,Remained the same,Will increase,Increased,Will decrease,Increased,Will decrease,Increased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will decrease
1538,41,Mar-18,Chennai,22-29 year,Female,Rs. 1 to less than 3 lakh,"Dr, R.K.Nagar ",10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Will improve,Increased,Will increase,Increased,Will increase
