Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
1868,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Maduravoyal ,10th Std-Below 12th Std,3 or 4,1,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Decreased,Remain the same
1869,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Maduravoyal ,10th Std-Below 12th Std,5 and more,2,House wife,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
1870,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Maduravoyal ,5th Std-Below 10th Std,3 or 4,3,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will worsen,Increased,Remain the same,Increased,
1871,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Maduravoyal ,Below 5th Std,3 or 4,3,Employed,Worsened,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
1872,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,10th Std-Below 12th Std,3 or 4,1,Employed,Worsened,Will worsen,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,,
1873,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
1874,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,10th Std-Below 12th Std,3 or 4,2,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Remain the same,Decreased,
1875,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will worsen,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Decreased,Will increase
1876,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,5th Std-Below 10th Std,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will decrease
1877,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Remain the same,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Remain the same
1878,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,Below 5th Std,1 to 2,1,House wife,Remained the same,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
1879,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,Below 5th Std,5 and more,3,House wife,Worsened,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will worsen,Increased,Will increase,Decreased,Will decrease
1880,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,Illiterate,3 or 4,1,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
1881,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,Illiterate,3 or 4,2,House wife,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Decreased,Will increase
1882,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,Illiterate,3 or 4,3,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Remained the same,Remain the same,,
1883,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Mylapore ,Illiterate,5 and more,6,Employed,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1884,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Perambur ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Decreased,Will decrease
1885,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Perambur ,10th Std-Below 12th Std,5 and more,2,Employed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
1886,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Perambur ,10th Std-Below 12th Std,5 and more,3,House wife,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Remain the same,Increased,
1887,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Perambur ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
1888,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Perambur ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
1889,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Perambur ,5th Std-Below 10th Std,3 or 4,4,Employed,Worsened,Will worsen,Decreased,Remain the same,Remained the same,Will decrease,Remained the same,Will decrease,Decreased,Will decrease,Worsened,Remain the same,Remained the same,Remain the same,,
1890,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Perambur ,5th Std-Below 10th Std,5 and more,2,House wife,Remained the same,Remain the same,Decreased,Remain the same,Remained the same,Will decrease,Remained the same,Remain the same,Decreased,Will decrease,Remained the same,Remain the same,Decreased,Will decrease,,
1891,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Royapuram ,10th Std-Below 12th Std,1 to 2,2,Self Employed/ Business,Worsened,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will decrease
1892,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Royapuram ,10th Std-Below 12th Std,5 and more,2,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1893,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Royapuram ,Below 5th Std,3 or 4,1,Unemployed,Worsened,Will worsen,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Remained the same,Remain the same
1894,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Royapuram ,Below 5th Std,3 or 4,3,Employed,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will decrease,Remained the same,Remain the same,Worsened,Will worsen,Remained the same,Will increase,,Will increase
1895,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Saidapet ,Below 5th Std,3 or 4,2,Daily worker,Remained the same,Remain the same,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
1896,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thiyagaraya Nagar ,5th Std-Below 10th Std,1 to 2,1,Employed,Worsened,Will worsen,Remained the same,Remain the same,Remained the same,Will increase,Decreased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
1897,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thiyagaraya Nagar ,5th Std-Below 10th Std,3 or 4,2,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1898,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thiyagaraya Nagar ,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Worsened,Will worsen,Increased,Will increase,Decreased,Will increase
1899,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thiyagaraya Nagar ,5th Std-Below 10th Std,5 and more,2,Employed,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Will improve,Increased,Will increase,Increased,Will decrease
1900,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thousand lights ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Remain the same,,
1901,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thousand lights ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1902,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thousand lights ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1903,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thousand lights ,5th Std-Below 10th Std,3 or 4,2,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1904,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thousand lights ,Illiterate,3 or 4,1,House wife,Remained the same,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Decreased,Remain the same
1905,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thousand lights ,Illiterate,3 or 4,1,House wife,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1906,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thousand lights ,Illiterate,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
1907,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Thousand lights ,Illiterate,5 and more,3,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1908,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will worsen,Decreased,Will decrease,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
1909,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
1910,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,5th Std-Below 10th Std,3 or 4,1,Daily worker,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
1911,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,5th Std-Below 10th Std,3 or 4,1,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Decreased,Remain the same
1912,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
1913,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1914,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,Below 5th Std,1 to 2,2,Daily worker,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
1915,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,Below 5th Std,3 or 4,1,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
1916,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,Illiterate,1 to 2,1,Daily worker,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
1917,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,Illiterate,3 or 4,1,Daily worker,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Decreased,Will decrease
1918,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,Illiterate,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Decreased,Will decrease
1919,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Tiruvottiyur ,Illiterate,3 or 4,2,Daily worker,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Decreased,Will decrease
1920,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,12th Std,5 and more,1,House wife,Remained the same,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Remained the same,Will decrease
1921,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,5th Std-Below 10th Std,1 to 2,1,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
1922,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,5th Std-Below 10th Std,1 to 2,1,House wife,Remained the same,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
1923,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
1924,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will improve,Decreased,Will increase,Increased,Remain the same,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Remain the same,Remained the same,
1925,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,5th Std-Below 10th Std,3 or 4,2,House wife,Worsened,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will worsen,Remained the same,Remain the same,,
1926,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,5th Std-Below 10th Std,3 or 4,2,House wife,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will decrease
1927,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,Below 5th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will decrease
1928,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,Below 5th Std,5 and more,2,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Decreased,Will increase
1929,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,Illiterate,1 to 2,2,Employed,Worsened,Remain the same,Remained the same,Remain the same,Remained the same,Will decrease,Remained the same,Will decrease,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will decrease,Increased,
1930,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,T.V.K .Nagar ,Illiterate,3 or 4,1,Self Employed/ Business,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Decreased,Will increase
1931,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Velachery ,10th Std-Below 12th Std,3 or 4,1,House wife,Remained the same,Will improve,Decreased,Will decrease,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
1932,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Velachery ,12th Std,3 or 4,1,House wife,Worsened,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Decreased,Will decrease,,
1933,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Velachery ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Remained the same,Remain the same,,
1934,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Velachery ,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Decreased,Will increase
1935,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Velachery ,Below 5th Std,3 or 4,2,Employed,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,,
1936,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Velachery ,Below 5th Std,5 and more,2,Daily worker,Worsened,Remain the same,Decreased,Will decrease,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Remained the same,Remain the same
1937,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Velachery ,Illiterate,3 or 4,1,House wife,Remained the same,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will worsen,Increased,Will increase,Decreased,Remain the same
1938,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Velachery ,Illiterate,3 or 4,2,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will decrease
1939,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Velachery ,Illiterate,5 and more,3,Employed,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1940,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Villivakkam ,10th Std-Below 12th Std,5 and more,2,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1941,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Villivakkam ,Below 5th Std,3 or 4,2,House wife,Improved,Will worsen,Remained the same,Remain the same,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Remained the same,Will improve,Increased,Remain the same,Remained the same,
1942,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Villivakkam ,Graduate,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
1943,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Virugambakkam ,5th Std-Below 10th Std,1 to 2,2,Daily worker,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
1944,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Virugambakkam ,5th Std-Below 10th Std,3 or 4,2,House wife,Worsened,Will worsen,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1945,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 lakh or less,Virugambakkam ,5th Std-Below 10th Std,5 and more,1,Unemployed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1946,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,10th Std-Below 12th Std,1 to 2,1,House wife,Worsened,Remain the same,Increased,Will increase,Remained the same,Will increase,Remained the same,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
1947,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,10th Std-Below 12th Std,3 or 4,2,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
1948,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,12th Std,3 or 4,1,House wife,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1949,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,12th Std,3 or 4,2,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1950,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,5th Std-Below 10th Std,1 to 2,1,Employed,Remained the same,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Decreased,Will decrease,Remained the same,Will improve,Remained the same,Will increase,,Will increase
1951,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,5th Std-Below 10th Std,1 to 2,1,House wife,Improved,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1952,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will improve,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Decreased,Will increase
1953,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
1954,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,5th Std-Below 10th Std,3 or 4,2,Employed,Worsened,Will worsen,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will increase,Decreased,Will decrease
1955,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,5th Std-Below 10th Std,5 and more,2,House wife,Worsened,Will worsen,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
1956,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,Below 5th Std,3 or 4,2,Employed,Worsened,Will improve,Decreased,Remain the same,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Remain the same,Increased,
1957,43,Jun-18,Chennai,40-59 year,Female,Rs. 1 to less than 3 lakh,Ambattur ,Below 5th Std,3 or 4,2,Employed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
