Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
836,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Bommanahalli,12th Std,5 and more,3,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Remain the same,Increased,Remain the same,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
837,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Bommanahalli,5th Std-Below 10th Std,3 or 4,2,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
838,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Bommanahalli,Post Graduate,3 or 4,2,Self Employed/ Business,Worsened,Will worsen,Remained the same,Remain the same,Increased,Remain the same,Increased,Remain the same,Increased,Remain the same,Worsened,Remain the same,Increased,Will decrease,Increased,
839,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,BTM Layout,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
840,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,BTM Layout,Illiterate,3 or 4,2,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
841,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Byatarayanapura,5th Std-Below 10th Std,5 and more,2,House wife,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
842,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Byatarayanapura,Illiterate,1 to 2,2,Daily worker,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
843,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Byatarayanapura,Illiterate,5 and more,2,Daily worker,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
844,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Byatarayanapura,Illiterate,5 and more,3,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
845,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Chamarajpet,12th Std,3 or 4,2,Employed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will improve,Increased,Will increase,Remained the same,Will increase
846,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Chamarajpet,Illiterate,5 and more,3,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Remained the same,Will increase
847,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Chickpet,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
848,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Chickpet,Illiterate,3 or 4,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
849,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Chickpet,Illiterate,3 or 4,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
850,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Chickpet,Illiterate,3 or 4,2,Retired/Pensioners,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
851,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,CV Raman nagar,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Remain the same,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
852,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,CV Raman nagar,Illiterate,5 and more,2,Employed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Decreased,Will increase,,Will increase
853,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Dasarahalli,5th Std-Below 10th Std,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
854,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Dasarahalli,5th Std-Below 10th Std,3 or 4,2,House wife,Remained the same,Will worsen,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Decreased,Remain the same,,
855,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Dasarahalli,5th Std-Below 10th Std,3 or 4,3,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will worsen,Increased,Will increase,Remained the same,Remain the same
856,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Dasarahalli,Graduate,3 or 4,1,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Remained the same,Remain the same
857,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Gandhinagar,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
858,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Gandhinagar,12th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
859,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Gandhinagar,5th Std-Below 10th Std,1 to 2,1,Daily worker,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
860,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Gandhinagar,5th Std-Below 10th Std,1 to 2,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
861,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Gandhinagar,5th Std-Below 10th Std,3 or 4,2,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
862,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Govindarajnagar,Below 5th Std,3 or 4,2,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Remained the same,Remain the same
863,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Hebbala,12th Std,5 and more,1,House wife,Remained the same,Will improve,Remained the same,Remain the same,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Improved,Remain the same,Increased,Remain the same,Increased,
864,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Jayanagar,Illiterate,5 and more,2,Self Employed/ Business,Worsened,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
865,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Mahadevpura,5th Std-Below 10th Std,5 and more,1,Employed,Worsened,Will worsen,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
866,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Mahadevpura,Below 5th Std,3 or 4,2,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Remain the same,Increased,Will increase,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
867,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Mahadevpura,Illiterate,5 and more,2,Daily worker,Improved,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
868,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Mahalaksmi Layout,10th Std-Below 12th Std,5 and more,4,House wife,Remained the same,Remain the same,Increased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will worsen,Increased,Will increase,Remained the same,Remain the same
869,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Mahalaksmi Layout,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Remain the same,Increased,Will increase,Remained the same,Remain the same
870,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Mahalaksmi Layout,5th Std-Below 10th Std,3 or 4,2,House wife,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Decreased,Will increase,,Remain the same
871,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Mahalaksmi Layout,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Remained the same,Remain the same
872,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Mahalaksmi Layout,Graduate,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Decreased,Remain the same
873,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Mahalaksmi Layout,Graduate,3 or 4,2,House wife,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase,Increased,Remain the same,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
874,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Malleshwaram,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will improve,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
875,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Malleshwaram,Below 5th Std,3 or 4,2,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Remain the same,Increased,Remain the same,Decreased,Will decrease,Remained the same,Will worsen,Increased,Will increase,Increased,Remain the same
876,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Malleshwaram,Graduate,5 and more,1,House wife,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
877,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Padmanabhanagar,Graduate,3 or 4,1,Unemployed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
878,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Pulakeshinagar,5th Std-Below 10th Std,5 and more,4,House wife,Remained the same,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
879,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Pulakeshinagar,Illiterate,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
880,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Pulakeshinagar,Illiterate,5 and more,2,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
881,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Rajainagar,10th Std-Below 12th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Remain the same,Remained the same,
882,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Rajainagar,5th Std-Below 10th Std,3 or 4,2,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
883,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Sarvagnanagar,10th Std-Below 12th Std,5 and more,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
884,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Sarvagnanagar,5th Std-Below 10th Std,5 and more,1,House wife,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
885,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Sarvagnanagar,5th Std-Below 10th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
886,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Sarvagnanagar,Below 5th Std,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
887,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Sarvagnanagar,Below 5th Std,3 or 4,2,Employed,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
888,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Shantinagar,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
889,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Shantinagar,10th Std-Below 12th Std,3 or 4,2,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
890,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Shantinagar,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Remain the same,Increased,Remain the same,Increased,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
891,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Shantinagar,Illiterate,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
892,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Shantinagar,Post Graduate,3 or 4,1,House wife,Worsened,Remain the same,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
893,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Shivajinagar,12th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
894,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Shivajinagar,12th Std,3 or 4,1,House wife,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Remain the same
895,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Shivajinagar,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Remained the same,Remain the same
896,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Vijayanagara,5th Std-Below 10th Std,5 and more,2,Self Employed/ Business,Remained the same,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Remained the same,Will improve,Decreased,Will increase,,Remain the same
897,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Yelahanka,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
898,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Yelahanka,5th Std-Below 10th Std,5 and more,2,Employed,Remained the same,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
899,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Yelahanka,Illiterate,3 or 4,1,House wife,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
900,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 1 to less than 3 lakh,Yeshwanthpur,Below 5th Std,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
901,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 3 lakh to 5 lakh,Basavanagudi,Graduate,3 or 4,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
902,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 3 lakh to 5 lakh,Basavanagudi,Graduate,3 or 4,2,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will decrease,Increased,Will decrease,Remained the same,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
903,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 3 lakh to 5 lakh,Bommanahalli,5th Std-Below 10th Std,3 or 4,2,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
904,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 3 lakh to 5 lakh,Malleshwaram,Graduate,3 or 4,1,House wife,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
905,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 3 lakh to 5 lakh,Padmanabhanagar,12th Std,5 and more,3,House wife,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will decrease,Worsened,Will worsen,Decreased,Will increase,,Will increase
906,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 3 lakh to 5 lakh,Yelahanka,Illiterate,3 or 4,3,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
907,44,Sep-18,Bengaluru,40-59 year,Female,Rs. 3 lakh to 5 lakh,Yeshwanthpur,12th Std,5 and more,4,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
908,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Bangalore South,5th Std-Below 10th Std,3 or 4,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
909,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Bangalore South,5th Std-Below 10th Std,3 or 4,3,Retired/Pensioners,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
910,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Bangalore South,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Worsened,Remain the same,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
911,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Bangalore South,Illiterate,5 and more,1,Self Employed/ Business,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
912,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Basavanagudi,5th Std-Below 10th Std,1 to 2,1,Daily worker,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Improved,Remain the same,Increased,Remain the same,Remained the same,
913,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Basavanagudi,5th Std-Below 10th Std,1 to 2,1,Employed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will decrease,Increased,Will increase,Decreased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
914,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Basavanagudi,5th Std-Below 10th Std,3 or 4,1,Self Employed/ Business,Improved,Remain the same,Decreased,Remain the same,Remained the same,Will increase,Increased,Will increase,Decreased,Will increase,Remained the same,Will improve,Decreased,Remain the same,,
915,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Basavanagudi,5th Std-Below 10th Std,3 or 4,1,Self Employed/ Business,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
916,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Basavanagudi,5th Std-Below 10th Std,3 or 4,2,Daily worker,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
917,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Bommanahalli,5th Std-Below 10th Std,3 or 4,1,Self Employed/ Business,Improved,Will improve,Remained the same,Remain the same,Decreased,Remain the same,Remained the same,Remain the same,Decreased,Remain the same,Improved,Will improve,Remained the same,Will increase,,Remain the same
918,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Bommanahalli,5th Std-Below 10th Std,5 and more,3,Employed,Improved,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Decreased,Will increase,,Will increase
919,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Chamarajpet,5th Std-Below 10th Std,3 or 4,1,Daily worker,Worsened,Will improve,Decreased,Will increase,Increased,Remain the same,Increased,Will increase,Remained the same,Will decrease,Worsened,Will improve,Increased,Will decrease,Remained the same,
920,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Chamarajpet,5th Std-Below 10th Std,3 or 4,1,Employed,Worsened,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Worsened,Will improve,Decreased,Will decrease,,
921,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,Chamarajpet,5th Std-Below 10th Std,5 and more,1,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
922,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,CV Raman nagar,5th Std-Below 10th Std,3 or 4,1,Self Employed/ Business,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
923,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,CV Raman nagar,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Remained the same,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Remain the same,Increased,Will increase,Increased,Will increase
924,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,CV Raman nagar,Illiterate,1 to 2,2,Daily worker,Worsened,Remain the same,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
925,44,Sep-18,Bengaluru,40-59 year,Male,Rs. 1 lakh or less,CV Raman nagar,Illiterate,5 and more,1,Daily worker,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Remain the same,Increased,Will increase,Increased,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
